category	keys	action	risk	lesson_id
Copilot 键	Copilot 键	打开或关闭 Windows 搜索；可在设置中自定义	context	
文本编辑	Backspace	删除光标左侧的字符	normal	
文本编辑	Ctrl + A	选择全部文本	normal	
文本编辑	Ctrl + B	为选中文本应用粗体	context	
文本编辑	Ctrl + Backspace	删除光标左侧的整个单词	normal	
文本编辑	Ctrl + C / Ctrl + Insert	复制选中的文本	normal	copy
文本编辑	Ctrl + Delete	删除光标右侧的整个单词	normal	
文本编辑	Ctrl + Down	移动到下一段开头	normal	
文本编辑	Ctrl + End	移动到文档结尾	normal	
文本编辑	Ctrl + F	查找文本	normal	
文本编辑	Ctrl + H	查找并替换文本	context	
文本编辑	Ctrl + Home	移动到文档开头	normal	
文本编辑	Ctrl + I	为选中文本应用斜体	context	
文本编辑	Ctrl + Left	移动到上一个单词开头	normal	
文本编辑	Ctrl + Right	移动到下一个单词开头	normal	
文本编辑	Ctrl + Shift + V	粘贴为纯文本	context	
文本编辑	Ctrl + U	为选中文本添加下划线	context	
文本编辑	Ctrl + Up	移动到上一段开头	normal	
文本编辑	Ctrl + V / Shift + Insert	粘贴剪贴板中的内容	normal	
文本编辑	Ctrl + X	剪切选中的文本	normal	
文本编辑	Ctrl + Y	重做上一次撤销的输入	context	
文本编辑	Ctrl + Z	撤销上一次输入	normal	
文本编辑	Delete	删除光标右侧的字符	normal	
文本编辑	Down	将光标移动到下一行	normal	
文本编辑	End	将光标移动到当前行末尾	normal	
文本编辑	Home	将光标移动到当前行开头	normal	
文本编辑	Left	向左移动一个字符	normal	
文本编辑	Page Down	向后移动一页	normal	
文本编辑	Page Up	向前移动一页	normal	
文本编辑	Right	向右移动一个字符	normal	
文本编辑	Ctrl + Shift + Down	从光标向后选择一个段落	normal	
文本编辑	Ctrl + Shift + End	选择到文档结尾	normal	
文本编辑	Ctrl + Shift + Home	选择到文档开头	normal	
文本编辑	Ctrl + Shift + Left	向左按单词选择	normal	
文本编辑	Ctrl + Shift + Right	向右按单词选择	normal	
文本编辑	Ctrl + Shift + Up	从光标向前选择一个段落	normal	
文本编辑	Shift + Down	向下选择一行	normal	
文本编辑	Shift + End	选择到当前行末尾	normal	
文本编辑	Shift + Home	选择到当前行开头	normal	
文本编辑	Shift + Left	向左选择一个字符	normal	
文本编辑	Shift + Page Down	向后选择一页文本	normal	
文本编辑	Shift + Page Up	向前选择一页文本	normal	
文本编辑	Shift + Right	向右选择一个字符	normal	
文本编辑	Shift + Up	向上选择一行	normal	
文本编辑	Tab	将光标缩进一个制表位	context	
文本编辑	Up	将光标移动到上一行	normal	
桌面与常规	Alt + A	聚焦建议操作菜单的第一个图标	context	
桌面与常规	Alt + Esc	按打开顺序循环浏览窗口	normal	
桌面与常规	Alt + F4	关闭活动窗口；桌面上会显示关机提示	caution	
桌面与常规	Alt + F8	在登录屏幕显示密码	context	
桌面与常规	Alt + Left	返回上一位置	context	
桌面与常规	Alt + Page Down	向下移动一个屏幕	context	
桌面与常规	Alt + Page Up	向上移动一个屏幕	context	
桌面与常规	Alt + PrtScn	把活动窗口截图复制到剪贴板	normal	
桌面与常规	Alt + Right	前进到下一位置	context	
桌面与常规	Alt + Shift + 箭头	移动开始菜单中聚焦的组或磁贴	context	
桌面与常规	Alt + Space	打开活动窗口的系统菜单	normal	
桌面与常规	Alt + Tab	在打开的窗口之间切换	normal	switch
桌面与常规	Alt + 带下划线字母	执行菜单中对应的命令	context	
桌面与常规	Ctrl + A	选择当前窗口中的全部项目	context	
桌面与常规	Ctrl + Alt + Delete	打开 Windows 安全屏幕	caution	
桌面与常规	Ctrl + Alt + Tab	固定显示窗口切换器，再用方向键选择	normal	
桌面与常规	Ctrl + Esc	打开开始菜单	normal	
桌面与常规	Ctrl + F4	关闭支持多文档应用中的当前文档	caution	
桌面与常规	Ctrl + F5 / Ctrl + R	刷新当前窗口	context	
桌面与常规	Ctrl + Shift	在可用键盘布局之间切换	context	
桌面与常规	Ctrl + Shift + 箭头	在开始菜单中移动磁贴并创建文件夹	context	
桌面与常规	Ctrl + Shift + Esc	打开任务管理器	normal	taskmanager
桌面与常规	Ctrl + Space	启用或禁用中文输入法	context	
桌面与常规	Ctrl + Y	重做上一次撤销的操作	context	
桌面与常规	Ctrl + Z	撤销上一个操作	context	
桌面与常规	Esc	停止当前任务或关闭对话框	normal	
桌面与常规	F5	刷新活动窗口	normal	
桌面与常规	F6	循环浏览窗口或桌面的元素	normal	
桌面与常规	F10	激活活动窗口的菜单栏	context	
桌面与常规	PrtScn	打开区域截图并复制到剪贴板	context	
Windows 键	Win	打开或关闭开始菜单	normal	
Windows 键	Win + A	打开快速设置	normal	quicksettings
Windows 键	Win + Shift + A	聚焦可用的 Windows 提示	context	
Windows 键	Win + Alt + B	打开或关闭 HDR	context	
Windows 键	Win + C	打开或关闭 Windows 搜索	normal	
Windows 键	Win + Alt + D	显示或隐藏桌面日期和时间	normal	
Windows 键	Win + Alt + Down	把活动窗口贴靠到屏幕下半部	normal	
Windows 键	Win + Alt + H	语音输入开启时聚焦其键盘	context	
Windows 键	Win + Alt + K	在支持的应用中静音或取消静音麦克风	context	
Windows 键	Win + Alt + Up	把活动窗口贴靠到屏幕上半部	normal	
Windows 键	Win + Comma	按住时临时预览桌面	normal	
Windows 键	Win + Ctrl + C	打开或关闭颜色筛选器	context	
Windows 键	Win + Ctrl + Enter	打开讲述人	context	
Windows 键	Win + Ctrl + F	搜索网络中的设备	context	
Windows 键	Win + Ctrl + Q	打开快速助手	normal	
Windows 键	Win + Ctrl + Shift + B	从黑屏状态唤醒显示设备	caution	
Windows 键	Win + Ctrl + Space	切回先前选定的输入法	context	
Windows 键	Win + Ctrl + V	打开快速设置的声音输出页面	normal	
Windows 键	Win + D	显示或隐藏桌面	normal	desktop
Windows 键	Win + Down	最小化或还原活动窗口	normal	
Windows 键	Win + E	打开文件资源管理器	normal	explorer
Windows 键	Win + Esc	关闭放大镜	context	
Windows 键	Win + F	打开反馈中心	normal	
Windows 键	Win + /	启动输入法重新转换	context	
Windows 键	Win + G	打开 Game Bar	context	
Windows 键	Win + H	打开语音输入	normal	
Windows 键	Win + Home	最小化除活动窗口外的所有窗口	normal	
Windows 键	Win + I	打开 Windows 设置	normal	settings
Windows 键	Win + J	在支持的设备上打开召回	context	
Windows 键	Win + K	打开投放面板以连接显示器	context	
Windows 键	Win + L	锁定计算机	caution	
Windows 键	Win + Left	把窗口贴靠到屏幕左侧	normal	
Windows 键	Win + M	最小化所有窗口	normal	
Windows 键	Win + Minus	缩小放大镜	context	
Windows 键	Win + N	打开通知中心和日历	normal	
Windows 键	Win + O	锁定设备方向	context	
Windows 键	Win + P	选择投影显示模式	context	
Windows 键	Win + Pause	打开设置中的系统关于页面	normal	
Windows 键	Win + Period / Win + Semicolon	打开表情符号面板	normal	
Windows 键	Win + Plus	打开放大镜并放大	context	
Windows 键	Win + PrtScn	截取全屏并保存到图片/屏幕截图	normal	
Windows 键	Win + Q	打开 Windows 搜索	normal	
Windows 键	Win + R	打开运行对话框	normal	
Windows 键	Win + Right	把窗口贴靠到屏幕右侧	normal	
Windows 键	Win + S	打开 Windows 搜索	normal	
Windows 键	Win + Shift + Down	还原已贴靠或最大化的窗口	normal	
Windows 键	Win + Shift + Enter	把活动 UWP 应用切换为全屏	context	
Windows 键	Win + Shift + Left	把活动窗口移到左侧显示器	context	
Windows 键	Win + Shift + M	还原已最小化的窗口	normal	
Windows 键	Win + Shift + R	选择屏幕区域并用截图工具录制	normal	
Windows 键	Win + Shift + Right	把活动窗口移到右侧显示器	context	
Windows 键	Win + Shift + S	选择区域并把截图复制到剪贴板	normal	snip
Windows 键	Win + Shift + Space	向后切换输入语言和键盘布局	context	
Windows 键	Win + Shift + Up	垂直拉伸活动窗口	normal	
Windows 键	Win + Shift + V	循环浏览通知	normal	
Windows 键	Win + Space	向前切换输入语言和键盘布局	context	
Windows 键	Win + Tab	打开任务视图	normal	
Windows 键	Win + U	打开辅助功能设置	normal	
Windows 键	Win + Up	最大化活动窗口	normal	
Windows 键	Win + V	打开剪贴板历史记录	context	
Windows 键	Win + W	打开小组件	normal	
Windows 键	Win + X	打开快速链接菜单	normal	
Windows 键	Win + Y	在混合现实与桌面间切换输入	context	
Windows 键	Win + Z	打开贴靠布局	normal	
命令提示符	Ctrl + C / Ctrl + Insert	复制选中的命令行文本	context	
命令提示符	Ctrl + V / Shift + Insert	粘贴命令行文本	context	
命令提示符	Ctrl + M	进入标记模式	context	
命令提示符	Alt + 选择键	开始块模式选择	context	
命令提示符	箭头键	按方向移动命令行光标	context	
命令提示符	Page Up	向上移动一个输出页面	context	
命令提示符	Page Down	向下移动一个输出页面	context	
命令提示符	Ctrl + Home（标记模式）	移动到缓冲区开头	context	
命令提示符	Ctrl + End（标记模式）	移动到缓冲区结尾	context	
命令提示符	Ctrl + Up	在输出历史中上移一行	context	
命令提示符	Ctrl + Down	在输出历史中下移一行	context	
命令提示符	Ctrl + Home（历史导航）	移到缓冲区顶部或删除光标左侧字符	context	
命令提示符	Ctrl + End（历史导航）	移到命令行或删除光标右侧字符	context	
对话框	F4	显示活动列表中的项目	context	
对话框	Ctrl + Tab	向前切换选项卡	context	
对话框	Ctrl + Shift + Tab	向后切换选项卡	context	
对话框	Ctrl + 数字 1-9	跳到指定编号的选项卡	context	
对话框	Tab	在选项间向前移动	context	
对话框	Shift + Tab	在选项间向后移动	context	
对话框	Alt + 带下划线字母	执行对应命令或选择对应选项	context	
对话框	Space	选择或清除当前复选框	context	
对话框	Backspace	在打开或另存为对话框中返回上级文件夹	context	
对话框	箭头键	在选项按钮组中选择按钮	context	
文件资源管理器	Alt + D	选择地址栏	normal	
文件资源管理器	Alt + Enter	显示所选项目的属性	normal	
文件资源管理器	Alt + Left / Backspace	返回上一个文件夹	normal	
文件资源管理器	Alt + 拖动文件	在放下位置创建原文件的快捷方式	context	
文件资源管理器	Alt + P	显示或隐藏预览窗格	normal	
文件资源管理器	Alt + Right	前往下一个文件夹	normal	
文件资源管理器	Alt + Shift + P	显示或隐藏详细信息窗格	normal	
